date,order_id,item,category,revenue
9/15/2025,111000,Blueberry Muffin,Food,3.45
9/15/2025,111001,Pumpkin Spice Latte,Seasonal,6.25
9/15/2025,111002,Pumpkin Spice Latte,Seasonal,6.25
9/15/2025,111003,Croissant,Food,6.5
9/15/2025,111004,Turkey Pesto Panini,Food,6.95
9/15/2025,111005,Croissant,Food,3.25
9/15/2025,111006,Blueberry Muffin,Food,3.45
9/15/2025,111007,Cold Brew,Drink,4.75
9/15/2025,111008,Spinach Feta Wrap,Food,4.95
9/15/2025,111009,Cold Brew,Drink,4.75
9/15/2025,111010,Matcha Latte,Drink,5.45
9/15/2025,111011,Cold Brew,Drink,4.75
9/15/2025,111012,Pumpkin Spice Latte,Seasonal,12.5
9/15/2025,111013,Caffè Latte,Drink,5.25
9/15/2025,111014,Spinach Feta Wrap,Food,9.9
9/15/2025,111015,Caramel Macchiato,Drink,5.95
9/15/2025,111016,Matcha Latte,Drink,5.45
9/15/2025,111017,Spinach Feta Wrap,Food,9.9
9/15/2025,111018,Americano,Drink,3.95
9/15/2025,111019,Caramel Macchiato,Drink,5.95
9/15/2025,111020,Spinach Feta Wrap,Food,9.9
9/15/2025,111021,Caramel Macchiato,Drink,11.9
9/15/2025,111022,Blueberry Muffin,Food,3.45
9/15/2025,111023,Blueberry Muffin,Food,3.45
9/15/2025,111024,Caramel Macchiato,Drink,11.9
9/15/2025,111025,Spinach Feta Wrap,Food,4.95
9/15/2025,111026,Matcha Latte,Drink,10.9
9/15/2025,111027,Americano,Drink,3.95
9/15/2025,111028,Americano,Drink,3.95
9/15/2025,111029,Blueberry Muffin,Food,3.45
9/15/2025,111030,Croissant,Food,3.25
9/15/2025,111031,Croissant,Food,3.25
9/15/2025,111032,Matcha Latte,Drink,5.45
9/15/2025,111033,Caramel Macchiato,Drink,11.9
9/15/2025,111034,Turkey Pesto Panini,Food,6.95
9/15/2025,111035,Turkey Pesto Panini,Food,6.95
9/15/2025,111036,Caramel Macchiato,Drink,5.95
9/15/2025,111037,Turkey Pesto Panini,Food,13.9
9/15/2025,111038,Spinach Feta Wrap,Food,4.95
9/15/2025,111039,Matcha Latte,Drink,10.9
9/16/2025,111040,Matcha Latte,Drink,5.45
9/16/2025,111041,Matcha Latte,Drink,5.45
