date,order_id,item,category,revenue
9/15/2025,104000,Croissant,Food,3.25
9/15/2025,104001,Croissant,Food,3.25
9/15/2025,104002,Cold Brew,Drink,9.5
9/15/2025,104003,Caramel Macchiato,Drink,11.9
9/15/2025,104004,Croissant,Food,3.25
9/15/2025,104005,Croissant,Food,3.25
9/15/2025,104006,Americano,Drink,7.9
9/15/2025,104007,Caffè Latte,Drink,10.5
9/15/2025,104008,Caramel Macchiato,Drink,5.95
9/15/2025,104009,Spinach Feta Wrap,Food,4.95
9/15/2025,104010,Americano,Drink,3.95
9/15/2025,104011,Caffè Latte,Drink,10.5
9/15/2025,104012,Caramel Macchiato,Drink,5.95
9/15/2025,104013,Americano,Drink,3.95
9/15/2025,104014,Turkey Pesto Panini,Food,13.9
9/15/2025,104015,Caramel Macchiato,Drink,11.9
9/15/2025,104016,Blueberry Muffin,Food,3.45
9/15/2025,104017,Cold Brew,Drink,9.5
9/15/2025,104018,Matcha Latte,Drink,5.45
9/15/2025,104019,Matcha Latte,Drink,5.45
9/15/2025,104020,Croissant,Food,6.5
9/15/2025,104021,Caffè Latte,Drink,5.25
9/15/2025,104022,Matcha Latte,Drink,5.45
9/15/2025,104023,Spinach Feta Wrap,Food,4.95
9/15/2025,104024,Americano,Drink,3.95
9/15/2025,104025,Spinach Feta Wrap,Food,9.9
9/15/2025,104026,Caffè Latte,Drink,5.25
9/15/2025,104027,Turkey Pesto Panini,Food,13.9
9/15/2025,104028,Cold Brew,Drink,4.75
9/15/2025,104029,Blueberry Muffin,Food,6.9
9/15/2025,104030,Americano,Drink,3.95
9/15/2025,104031,Turkey Pesto Panini,Food,13.9
9/15/2025,104032,Caramel Macchiato,Drink,5.95
9/15/2025,104033,Spinach Feta Wrap,Food,4.95
9/15/2025,104034,Turkey Pesto Panini,Food,13.9
9/15/2025,104035,Spinach Feta Wrap,Food,9.9
9/15/2025,104036,Caramel Macchiato,Drink,5.95
9/15/2025,104037,Pumpkin Spice Latte,Seasonal,12.5
9/15/2025,104038,Croissant,Food,3.25
9/15/2025,104039,Matcha Latte,Drink,5.45
9/16/2025,104040,Americano,Drink,3.95
9/16/2025,104041,Spinach Feta Wrap,Food,4.95
9/16/2025,104042,Caffè Latte,Drink,5.25
9/16/2025,104043,Blueberry Muffin,Food,6.9
9/16/2025,104044,Caramel Macchiato,Drink,5.95
9/16/2025,104045,Pumpkin Spice Latte,Seasonal,6.25
9/16/2025,104046,Turkey Pesto Panini,Food,13.9
