date,order_id,item,category,revenue
9/15/2025,108000,Blueberry Muffin,Food,3.45
9/15/2025,108001,Blueberry Muffin,Food,3.45
9/15/2025,108002,Matcha Latte,Drink,5.45
9/15/2025,108003,Caramel Macchiato,Drink,5.95
9/15/2025,108004,Croissant,Food,3.25
9/15/2025,108005,Matcha Latte,Drink,5.45
9/15/2025,108006,Blueberry Muffin,Food,3.45
9/15/2025,108007,Blueberry Muffin,Food,3.45
9/15/2025,108008,Blueberry Muffin,Food,3.45
9/15/2025,108009,Matcha Latte,Drink,5.45
9/15/2025,108010,Matcha Latte,Drink,5.45
9/15/2025,108011,Pumpkin Spice Latte,Seasonal,6.25
9/15/2025,108012,Spinach Feta Wrap,Food,4.95
9/15/2025,108013,Matcha Latte,Drink,5.45
9/15/2025,108014,Blueberry Muffin,Food,6.9
9/15/2025,108015,Croissant,Food,3.25
9/15/2025,108016,Blueberry Muffin,Food,3.45
9/15/2025,108017,Spinach Feta Wrap,Food,4.95
9/15/2025,108018,Caffè Latte,Drink,10.5
9/15/2025,108019,Turkey Pesto Panini,Food,13.9
9/15/2025,108020,Americano,Drink,3.95
9/15/2025,108021,Cold Brew,Drink,4.75
9/15/2025,108022,Croissant,Food,3.25
9/15/2025,108023,Croissant,Food,3.25
9/15/2025,108024,Blueberry Muffin,Food,3.45
9/15/2025,108025,Croissant,Food,6.5
9/15/2025,108026,Americano,Drink,3.95
9/15/2025,108027,Pumpkin Spice Latte,Seasonal,6.25
9/15/2025,108028,Caffè Latte,Drink,5.25
9/15/2025,108029,Croissant,Food,3.25
9/15/2025,108030,Spinach Feta Wrap,Food,9.9
9/15/2025,108031,Americano,Drink,7.9
9/15/2025,108032,Blueberry Muffin,Food,6.9
9/15/2025,108033,Matcha Latte,Drink,5.45
9/15/2025,108034,Croissant,Food,3.25
9/15/2025,108035,Caffè Latte,Drink,5.25
9/15/2025,108036,Caffè Latte,Drink,5.25
9/15/2025,108037,Blueberry Muffin,Food,6.9
9/15/2025,108038,Spinach Feta Wrap,Food,4.95
9/15/2025,108039,Croissant,Food,3.25
9/16/2025,108040,Matcha Latte,Drink,5.45
9/16/2025,108041,Pumpkin Spice Latte,Seasonal,6.25
9/16/2025,108042,Caramel Macchiato,Drink,5.95
9/16/2025,108043,Matcha Latte,Drink,10.9
9/16/2025,108044,Cold Brew,Drink,4.75
9/16/2025,108045,Caffè Latte,Drink,5.25
9/16/2025,108046,Pumpkin Spice Latte,Seasonal,6.25
9/16/2025,108047,Cold Brew,Drink,4.75
9/16/2025,108048,Turkey Pesto Panini,Food,6.95
9/16/2025,108049,Cold Brew,Drink,9.5
9/16/2025,108050,Blueberry Muffin,Food,3.45
9/16/2025,108051,Pumpkin Spice Latte,Seasonal,6.25
9/16/2025,108052,Americano,Drink,7.9
9/16/2025,108053,Blueberry Muffin,Food,3.45
9/16/2025,108054,Caramel Macchiato,Drink,5.95
9/16/2025,108055,Turkey Pesto Panini,Food,6.95
9/16/2025,108056,Spinach Feta Wrap,Food,4.95
9/16/2025,108057,Pumpkin Spice Latte,Seasonal,6.25
9/16/2025,108058,Americano,Drink,3.95
9/16/2025,108059,Cold Brew,Drink,4.75
9/16/2025,108060,Caffè Latte,Drink,10.5
9/16/2025,108061,Croissant,Food,3.25
9/16/2025,108062,Blueberry Muffin,Food,6.9
9/16/2025,108063,Turkey Pesto Panini,Food,13.9
9/16/2025,108064,Cold Brew,Drink,4.75
9/16/2025,108065,Matcha Latte,Drink,5.45
9/16/2025,108066,Turkey Pesto Panini,Food,6.95
9/16/2025,108067,Cold Brew,Drink,4.75
9/16/2025,108068,Croissant,Food,6.5
9/16/2025,108069,Blueberry Muffin,Food,3.45
9/16/2025,108070,Caramel Macchiato,Drink,11.9
9/16/2025,108071,Caramel Macchiato,Drink,5.95
9/16/2025,108072,Turkey Pesto Panini,Food,6.95
9/16/2025,108073,Cold Brew,Drink,4.75
9/16/2025,108074,Cold Brew,Drink,4.75
9/16/2025,108075,Turkey Pesto Panini,Food,6.95
9/16/2025,108076,Americano,Drink,3.95
9/16/2025,108077,Americano,Drink,7.9
9/16/2025,108078,Pumpkin Spice Latte,Seasonal,12.5
9/16/2025,108079,Pumpkin Spice Latte,Seasonal,6.25
