date,order_id,item,category,revenue
2025-09-19,112160,Spinach Feta Wrap,Food,9.9
2025-09-19,112161,Cold Brew,Drink,9.5
2025-09-19,112162,Spinach Feta Wrap,Food,4.95
2025-09-19,112163,Matcha Latte,Drink,5.45
2025-09-19,112164,Croissant,Food,3.25
2025-09-19,112165,Caffè Latte,Drink,5.25
2025-09-19,112166,Croissant,Food,6.5
2025-09-19,112167,Matcha Latte,Drink,5.45
2025-09-19,112168,Cold Brew,Drink,4.75
2025-09-19,112169,Caramel Macchiato,Drink,5.95
2025-09-19,112170,Spinach Feta Wrap,Food,4.95
2025-09-19,112171,Turkey Pesto Panini,Food,6.95
2025-09-19,112172,Matcha Latte,Drink,5.45
2025-09-19,112173,Spinach Feta Wrap,Food,4.95
2025-09-19,112174,Pumpkin Spice Latte,Seasonal,12.5
2025-09-19,112175,Spinach Feta Wrap,Food,4.95
2025-09-19,112176,Blueberry Muffin,Food,3.45
2025-09-19,112177,Caramel Macchiato,Drink,11.9
2025-09-19,112178,Cold Brew,Drink,4.75
2025-09-19,112179,Blueberry Muffin,Food,3.45
2025-09-19,112180,Pumpkin Spice Latte,Seasonal,12.5
2025-09-19,112181,Caramel Macchiato,Drink,5.95
2025-09-19,112182,Blueberry Muffin,Food,3.45
2025-09-19,112183,Pumpkin Spice Latte,Seasonal,12.5
2025-09-19,112184,Cold Brew,Drink,9.5
2025-09-19,112185,Americano,Drink,3.95
2025-09-19,112186,Caffè Latte,Drink,5.25
2025-09-19,112187,Americano,Drink,3.95
2025-09-19,112188,Caffè Latte,Drink,5.25
2025-09-19,112189,Pumpkin Spice Latte,Seasonal,6.25
2025-09-19,112190,Matcha Latte,Drink,10.9
2025-09-19,112191,Matcha Latte,Drink,5.45
2025-09-19,112192,Blueberry Muffin,Food,3.45
2025-09-19,112193,Americano,Drink,3.95
2025-09-19,112194,Americano,Drink,7.9
2025-09-19,112195,Cold Brew,Drink,4.75
2025-09-19,112196,Cold Brew,Drink,4.75
2025-09-19,112197,Caffè Latte,Drink,10.5
2025-09-19,112198,Matcha Latte,Drink,5.45
2025-09-19,112199,Turkey Pesto Panini,Food,6.95
