date,order_id,item,category,revenue
2025-09-20,110200,Blueberry Muffin,Food,3.45
2025-09-20,110201,Blueberry Muffin,Food,3.45
2025-09-20,110202,Spinach Feta Wrap,Food,9.9
2025-09-20,110203,Caffè Latte,Drink,5.25
2025-09-20,110204,Cold Brew,Drink,4.75
2025-09-20,110205,Caramel Macchiato,Drink,5.95
2025-09-20,110206,Caramel Macchiato,Drink,11.9
2025-09-20,110207,Americano,Drink,3.95
2025-09-20,110208,Croissant,Food,3.25
2025-09-20,110209,Turkey Pesto Panini,Food,6.95
2025-09-20,110210,Cold Brew,Drink,4.75
2025-09-20,110211,Matcha Latte,Drink,5.45
2025-09-20,110212,Spinach Feta Wrap,Food,4.95
2025-09-20,110213,Americano,Drink,3.95
2025-09-20,110214,Turkey Pesto Panini,Food,6.95
2025-09-20,110215,Matcha Latte,Drink,5.45
2025-09-20,110216,Caffè Latte,Drink,5.25
2025-09-20,110217,Caramel Macchiato,Drink,11.9
2025-09-20,110218,Matcha Latte,Drink,10.9
2025-09-20,110219,Pumpkin Spice Latte,Seasonal,6.25
2025-09-20,110220,Caffè Latte,Drink,5.25
2025-09-20,110221,Caffè Latte,Drink,5.25
2025-09-20,110222,Blueberry Muffin,Food,3.45
2025-09-20,110223,Blueberry Muffin,Food,3.45
2025-09-20,110224,Matcha Latte,Drink,5.45
2025-09-20,110225,Matcha Latte,Drink,5.45
2025-09-20,110226,Spinach Feta Wrap,Food,9.9
2025-09-20,110227,Caffè Latte,Drink,5.25
2025-09-20,110228,Americano,Drink,3.95
2025-09-20,110229,Cold Brew,Drink,4.75
2025-09-20,110230,Matcha Latte,Drink,5.45
2025-09-20,110231,Blueberry Muffin,Food,3.45
2025-09-20,110232,Blueberry Muffin,Food,3.45
2025-09-20,110233,Americano,Drink,3.95
2025-09-20,110234,Blueberry Muffin,Food,3.45
2025-09-20,110235,Pumpkin Spice Latte,Seasonal,6.25
2025-09-20,110236,Caramel Macchiato,Drink,5.95
2025-09-20,110237,Matcha Latte,Drink,5.45
2025-09-20,110238,Caramel Macchiato,Drink,11.9
2025-09-20,110239,Spinach Feta Wrap,Food,4.95
