date,order_id,item,category,revenue
2025-09-17,2080,Blueberry Muffin,Food,6.9
2025-09-17,2081,Blueberry Muffin,Food,3.45
2025-09-17,2082,Pumpkin Spice Latte,Seasonal,12.5
2025-09-17,2083,Americano,Drink,3.95
2025-09-17,2084,Blueberry Muffin,Food,3.45
2025-09-17,2085,Pumpkin Spice Latte,Seasonal,6.25
2025-09-17,2086,Spinach Feta Wrap,Food,9.9
2025-09-17,2087,Turkey Pesto Panini,Food,6.95
2025-09-17,2088,Pumpkin Spice Latte,Seasonal,6.25
2025-09-17,2089,Americano,Drink,3.95
2025-09-17,2090,Pumpkin Spice Latte,Seasonal,12.5
2025-09-17,2091,Cold Brew,Drink,4.75
2025-09-17,2092,Turkey Pesto Panini,Food,6.95
2025-09-17,2093,Americano,Drink,3.95
2025-09-17,2094,Americano,Drink,7.9
2025-09-17,2095,Cold Brew,Drink,4.75
2025-09-17,2096,Caramel Macchiato,Drink,5.95
2025-09-17,2097,Cold Brew,Drink,4.75
2025-09-17,2098,Turkey Pesto Panini,Food,6.95
2025-09-17,2099,Turkey Pesto Panini,Food,6.95
2025-09-17,2100,Cold Brew,Drink,9.5
2025-09-17,2101,Pumpkin Spice Latte,Seasonal,12.5
2025-09-17,2102,Americano,Drink,3.95
2025-09-17,2103,Matcha Latte,Drink,5.45
2025-09-17,2104,Caramel Macchiato,Drink,11.9
2025-09-17,2105,Turkey Pesto Panini,Food,6.95
2025-09-17,2106,Cold Brew,Drink,4.75
2025-09-17,2107,Turkey Pesto Panini,Food,13.9
2025-09-17,2108,Cold Brew,Drink,4.75
2025-09-17,2109,Turkey Pesto Panini,Food,6.95
2025-09-17,2110,Matcha Latte,Drink,5.45
2025-09-17,2111,Pumpkin Spice Latte,Seasonal,6.25
2025-09-17,2112,Cold Brew,Drink,4.75
2025-09-17,2113,Cold Brew,Drink,4.75
2025-09-17,2114,Cold Brew,Drink,4.75
2025-09-17,2115,Spinach Feta Wrap,Food,4.95
2025-09-17,2116,Spinach Feta Wrap,Food,9.9
2025-09-17,2117,Spinach Feta Wrap,Food,4.95
2025-09-17,2118,Matcha Latte,Drink,10.9
2025-09-17,2119,Caramel Macchiato,Drink,5.95
