date,order_id,item,category,revenue
2025-09-16,109040,Caffè Latte,Drink,5.25
2025-09-16,109041,Caffè Latte,Drink,5.25
2025-09-16,109042,Caffè Latte,Drink,10.5
2025-09-16,109043,Turkey Pesto Panini,Food,6.95
2025-09-16,109044,Caffè Latte,Drink,10.5
2025-09-16,109045,Matcha Latte,Drink,5.45
2025-09-16,109046,Americano,Drink,3.95
2025-09-16,109047,Matcha Latte,Drink,5.45
2025-09-16,109048,Americano,Drink,7.9
2025-09-16,109049,Americano,Drink,3.95
2025-09-16,109050,Pumpkin Spice Latte,Seasonal,6.25
2025-09-16,109051,Caramel Macchiato,Drink,11.9
2025-09-16,109052,Blueberry Muffin,Food,3.45
2025-09-16,109053,Americano,Drink,3.95
2025-09-16,109054,Caramel Macchiato,Drink,5.95
2025-09-16,109055,Caramel Macchiato,Drink,5.95
2025-09-16,109056,Matcha Latte,Drink,5.45
2025-09-16,109057,Turkey Pesto Panini,Food,6.95
2025-09-16,109058,Cold Brew,Drink,4.75
2025-09-16,109059,Caffè Latte,Drink,10.5
2025-09-16,109060,Croissant,Food,3.25
2025-09-16,109061,Pumpkin Spice Latte,Seasonal,6.25
2025-09-16,109062,Cold Brew,Drink,9.5
2025-09-16,109063,Americano,Drink,3.95
2025-09-16,109064,Pumpkin Spice Latte,Seasonal,12.5
2025-09-16,109065,Cold Brew,Drink,4.75
2025-09-16,109066,Americano,Drink,7.9
2025-09-16,109067,Cold Brew,Drink,4.75
2025-09-16,109068,Blueberry Muffin,Food,6.9
2025-09-16,109069,Cold Brew,Drink,4.75
2025-09-16,109070,Cold Brew,Drink,9.5
2025-09-16,109071,Turkey Pesto Panini,Food,6.95
2025-09-16,109072,Caffè Latte,Drink,10.5
2025-09-16,109073,Blueberry Muffin,Food,3.45
2025-09-16,109074,Turkey Pesto Panini,Food,13.9
2025-09-16,109075,Cold Brew,Drink,4.75
2025-09-16,109076,Blueberry Muffin,Food,3.45
2025-09-16,109077,Caffè Latte,Drink,5.25
2025-09-16,109078,Turkey Pesto Panini,Food,6.95
2025-09-16,109079,Matcha Latte,Drink,10.9
